	labial:+;coronal:-;strident:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;strident:-;distributed:-;dorsal:-;front:0	labial:-;coronal:+;strident:-;distributed:+;dorsal:-;front:0 | labial:-;coronal:+;strident:+;distributed:-;dorsal:-;front:0	labial:-;coronal:-;strident:0;distributed:0;dorsal:+;front:-	labial:-;coronal:+;strident:-,+;distributed:-,+;dorsal:-,+;front:+ | labial:-;coronal:+;strident:+;distributed:+;dorsal:+;front:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;category:affricate|plosive	b	d		ɡ	dʑ	4/5	0.7693344114679853
periodicGlottalSource:-;spreadGlottis:+;category:fricative		-	sʰ			1/4	0.8929806837102415
periodicGlottalSource:+;spreadGlottis:-;category:fricative			z			1/5	0.5397926374438716
periodicGlottalSource:-;spreadGlottis:-;category:affricate|plosive	p	t	t̪	k	tɕ	5/5	1.0
periodicGlottalSource:-;spreadGlottis:-;category:fricative | periodicGlottalSource:+,-;spreadGlottis:-;sonorant:+,-;nasal:+,-;category:fricative			s		ɕ	2/5	0.6560237861296643
periodicGlottalSource:-;spreadGlottis:+;category:plosive | periodicGlottalSource:-;spreadGlottis:+;category:affricate | periodicGlottalSource:-;spreadGlottis:-,+;category:plosive | periodicGlottalSource:-;spreadGlottis:-,+;category:affricate	pʰ	tʰ		kʰ	tɕʰ	4/5	0.6704302062231438
	3/6	3/5	4/6	3/6	4/6
	0.7752650415826785	0.9490564481629108	0.7925393326999588	0.8328181093958532	0.9052684506802101
