	labiodental:0;distributed:-;dorsal:-;round:0	labiodental:0;distributed:+;dorsal:+;round:0	count	markedness_count
periodicGlottalSource:-;spreadGlottis:+	sʰ		1/2	0.9609141611820397
periodicGlottalSource:+;spreadGlottis:-	z		1/2	0.9554258869135178
periodicGlottalSource:-;spreadGlottis:-	s	ɕ	2/2	1.0
	3/3	1/3
	1.0	0.7365591651699791
