	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:-	labial:-;coronal:-;dorsal:+	count	markedness_count
periodicGlottalSource:+	β	z	ɣ	3/3	1.0
periodicGlottalSource:-		s		1/3	0.6244675448355381
	1/2	2/2	1/2
	0.33747892892306774	1.0	0.29522793278914716
