	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	p	t		k	3/4	0.9603313270706587
periodicGlottalSource:+;sonorant:+,-;nasal:+,-	mb	nd	ɲɟ	ŋɡ	4/4	1.0
	2/2	2/2	1/2	2/2
	1.0	1.0	0.46848697436722647	1.0
