	labiodental:0;anterior:+;distributed:-;high:0;low:0;front:0;back:0;round:0 | labiodental:0;anterior:-;distributed:+;high:0;low:0;front:0;back:0;round:0 | labiodental:0;anterior:-;distributed:+;high:0;low:0;front:0;back:0;round:0;strident:+	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	t̠ʃ	1/1	1.0
periodicGlottalSource:+;sonorant:-;nasal:-	d̠ʒ	1/1	1.0
periodicGlottalSource:+;sonorant:+,-;nasal:+,-	ndz	1/1	1.0
	3/3
	1.0
