	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;low:0;retractedTongueRoot:-	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;low:0;retractedTongueRoot:-	labial:-;coronal:+;anterior:-;distributed:+;dorsal:-;low:0;retractedTongueRoot:-	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;low:-;retractedTongueRoot:- | labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;low:+;retractedTongueRoot:+ | labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;low:+;retractedTongueRoot:+;high:-;back:+	count	markedness_count
periodicGlottalSource:+	v	z	ʒ	ʕ	4/4	1.0
periodicGlottalSource:-	f	s	ʃ	χ	4/4	1.0
	2/2	2/2	2/2	2/2
	1.0	1.0	1.0	1.0
