	labiodental:0;coronal:+;strident:-;anterior:+;dorsal:-;round:0	labiodental:0;coronal:+;strident:+;anterior:-;dorsal:-;round:0	labiodental:0;coronal:-;strident:0;anterior:0;dorsal:+;round:0	count	markedness_count
periodicGlottalSource:+	ð	ʒ		2/3	0.663798122886744
periodicGlottalSource:-	θ	ʃ	x	3/3	1.0
	2/2	2/2	1/2
	1.0	1.0	0.7044347480298516
