	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:-	labial:-;coronal:-;dorsal:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	b	d̪	ɡ	3/3	1.0
periodicGlottalSource:-;spreadGlottis:-			k	1/3	0.3740838367220055
periodicGlottalSource:-;spreadGlottis:+	pʰ	t̪ʰ		2/3	0.5945492732319059
	2/3	2/3	2/3
	0.4556547232547866	0.39544422376259686	0.8778662622651932
