	labial:+;labiodental:-;coronal:-;strident:0;distributed:0;dorsal:-;front:0 | labial:+;labiodental:+;coronal:-;strident:0;distributed:0;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:-;distributed:-;dorsal:-;front:0 | labial:-;labiodental:0;coronal:+;strident:+;distributed:-;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:-,+;distributed:-,+;dorsal:-,+;front:+	labial:-;labiodental:0;coronal:-;strident:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;category:affricate|plosive	b	d			2/4	0.7082188665823262
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative	f	s			2/4	0.8343512407885574
periodicGlottalSource:-;spreadGlottis:-;category:affricate|plosive	p	t	tɕ	k	4/4	1.0
periodicGlottalSource:-;spreadGlottis:+;category:plosive | periodicGlottalSource:-;spreadGlottis:+;category:affricate | periodicGlottalSource:-;spreadGlottis:-,+;category:plosive | periodicGlottalSource:-;spreadGlottis:-,+;category:affricate	pʰ	tʰ	tɕʰ	kʰ	4/4	1.0
	4/4	4/4	2/4	2/4
	1.0	1.0	0.5719126363107067	0.6332890253728457
