	labial:-;labiodental:0;coronal:+;lateral:-;strident:-,+;anterior:+;distributed:-,+;dorsal:-,+;high:+;low:-;front:+;back:-;epilaryngealSource:-;round:0;retractedTongueRoot:-	count	markedness_count
spreadGlottis:-	tɕ	1/1	1.0
spreadGlottis:-,+	tɕʰ	1/1	1.0
	2/2
	1.0
