	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:- | labial:-;coronal:+;strident:-,+;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-,+	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	f	s	ʃ	fʲ	4/4	1.0
periodicGlottalSource:+;sonorant:-;nasal:-	v	z		vʲ	3/4	0.8163502065839702
periodicGlottalSource:+;sonorant:+,-;nasal:+,-		nz			1/4	0.4439944129422393
	2/3	3/3	1/3	2/3
	0.9965499950021582	1.0	0.7843079521830666	0.9988229898578491
