	labial:+;coronal:-;dorsal:-;front:0	labial:-;coronal:+;dorsal:-;front:0	labial:+;coronal:-;dorsal:+;front:-	labial:-;coronal:-;dorsal:+;front:-	labial:-;coronal:-;dorsal:+;front:-,+	count	markedness_count
periodicGlottalSource:+	b	d	ɡb	ɡ	ɡʲ	5/5	1.0
periodicGlottalSource:-	p	t		k	kʲ	4/5	0.993936298985292
	2/2	2/2	1/2	2/2	2/2
	1.0	1.0	0.5306802203691579	1.0	1.0
