	labial:+;labiodental:-;coronal:-;strident:0;dorsal:-;front:0 | labial:+;labiodental:-;coronal:-;strident:0;dorsal:-,+;front:-;round:- | labial:+;labiodental:-;coronal:-;strident:0;dorsal:-,-,+;front:-;round:- | labial:+;labiodental:+;coronal:-;strident:0;dorsal:-;front:0 | labial:+;labiodental:+;coronal:-;strident:0;dorsal:-,+;front:-;round:- | labial:+;labiodental:+;coronal:-;strident:0;dorsal:-,-,+;front:-;round:- | labial:+;labiodental:+,-;coronal:-;strident:0;dorsal:-;front:0;round:-,+	labial:-;labiodental:0;coronal:+;strident:-;dorsal:-;front:0 | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;front:0 | labial:-;labiodental:0;coronal:+;strident:-,+;dorsal:-;front:0 | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;front:0;distributed:- | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;front:0;distributed:+ | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;front:0;anterior:+;distributed:+	labial:+;labiodental:-;coronal:-;strident:0;dorsal:+;front:-	labial:-;labiodental:0;coronal:-;strident:0;dorsal:+;front:-	labial:-;labiodental:0;coronal:-;strident:0;dorsal:+;front:-,+ | labial:-;labiodental:0;coronal:-;strident:0;dorsal:+;front:0,-,+ | labial:-;labiodental:0;coronal:-;strident:0;dorsal:+;front:-,-,+ | labial:-;labiodental:0;coronal:+;strident:+;dorsal:+;front:+;anterior:+;distributed:+ | labial:-;labiodental:0;coronal:+;strident:-;dorsal:+;front:+;anterior:-;distributed:+ | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-,+;front:+;anterior:-;distributed:+;high:+;low:-;back:-	count	markedness_count
periodicGlottalSource:+;category:plosive	b	d	ɡb	ɡ	ɡʲ	5/5	1.0
periodicGlottalSource:-;category:plosive | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:plosive	p	t		k	kʲ	4/5	0.993936298985292
periodicGlottalSource:+;category:fricative	v		-			1/4	0.19071668550263235
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f	s	-			2/4	0.8727211838529629
	4/4	3/4	1/2	2/4	2/4
	1.0	0.8857450084917328	0.5306802203691579	0.8186879619670382	0.8165066395280912
