	labial:+;labiodental:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;round:- | labial:+;labiodental:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;round:-	labial:-;labiodental:0;coronal:+;lateral:-;strident:-;anterior:+;distributed:+;dorsal:-;round:0	labial:-;labiodental:0;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-;round:0 | labial:-;labiodental:0;coronal:+;lateral:-,+;strident:-;anterior:+;distributed:-;dorsal:-;round:0	labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-;round:0	labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-;round:0 | labial:-;labiodental:0;coronal:+;lateral:-;strident:-,+;anterior:-;distributed:+;dorsal:-;round:0	labial:-;labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;round:0	labial:-,+;labiodental:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;round:+	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;sonorant:-;nasal:-;category:affricate|plosive	p	t̪	tɬ	ts	t̠ʃ	k	kʷ	7/7	1.0
periodicGlottalSource:+;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;sonorant:-;nasal:-;category:affricate|plosive	b	d̪		dz	d̠ʒ	ɡ		5/7	0.9729213782092524
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative	f		ɬ	s	ʃ			4/7	0.7160880322875145
periodicGlottalSource:-;spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-;sonorant:-;nasal:-;category:plosive | periodicGlottalSource:-;spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-;sonorant:-;nasal:-;category:affricate | periodicGlottalSource:-;spreadGlottis:-,+;constrictedGlottis:-;raisedLarynxEjective:-;sonorant:-;nasal:-;category:plosive | periodicGlottalSource:-;spreadGlottis:-,+;constrictedGlottis:-;raisedLarynxEjective:-;sonorant:-;nasal:-;category:affricate	pʰ	t̪ʰ	tɬʰ	tsʰ	t̠ʃʰ	kʰ	kʷʰ	7/7	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:+;raisedLarynxEjective:+;sonorant:-;nasal:-;category:plosive | periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:+;raisedLarynxEjective:+;sonorant:-;nasal:-;category:affricate | periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-,+;raisedLarynxEjective:-,+;sonorant:-;nasal:-;category:plosive | periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-,+;raisedLarynxEjective:-,+;sonorant:-;nasal:-;category:affricate	pʼ		tɬʼ	tsʼ	t̠ʃʼ	kʼ	kʷʼ	6/7	0.9283896947366268
periodicGlottalSource:+;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;sonorant:+,-;nasal:+,-;category:affricate|plosive	mb	n̪d̪	-	ndz	n̠d̠ʒ	ŋɡ		5/6	0.9734374302795082
periodicGlottalSource:+,-;spreadGlottis:-,+;constrictedGlottis:-;raisedLarynxEjective:-;sonorant:+,-;nasal:+,-;category:affricate|plosive	mpʰ	n̪t̪ʰ	-				-	2/5	0.4136733053937299
	7/7	5/7	4/5	6/7	6/7	5/7	3/6
	1.0	0.8103446378864846	0.9712018231269618	0.9974782232100888	0.9958105361218452	0.8629367749052453	0.6421659033179451
