	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	b	d		ɟ		3/5	0.6517043498016186
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative	ɸ		s		x	3/5	0.8733087936931826
periodicGlottalSource:-;category:affricate|plosive	p	t	ts	c	k	5/5	1.0
	3/3	2/3	2/3	2/3	2/3
	1.0	0.9259297106463319	0.8824642647348749	0.8821472665701419	0.7776906561654108
