	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;loweredLarynxImplosive:-;category:affricate|plosive	b	d	dz		ɡb	ɡ	5/6	0.9218622738697116
periodicGlottalSource:+;loweredLarynxImplosive:+;category:affricate|plosive	ɓ	ɗ	-	-	-		2/3	0.8038629283657579
periodicGlottalSource:+;category:fricative	v		z	ʒ	-	ɣ	4/5	0.9238140876357045
periodicGlottalSource:-;loweredLarynxImplosive:-;category:affricate|plosive	p	t		t̠ʃ	kp	k	5/6	0.9174079911319861
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f		s	ʃ	-		3/5	0.6996525911823187
	5/5	3/5	3/4	3/4	2/2	3/5
	1.0	0.9036548980213532	0.6752046091283822	0.8437545509347497	1.0	0.865959997069244
