	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;strident:-,+;anterior:+;distributed:-;dorsal:- | labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	f	ʃ	x	3/3	1.0
periodicGlottalSource:+;sonorant:+,-;nasal:+,-		nz		1/3	0.43930205641209685
	1/2	2/2	1/2
	0.6623835602204936	1.0	0.7044347480298516
