	labiodental:0;strident:+;anterior:+;distributed:-;dorsal:-;round:0 | labiodental:0;strident:+;anterior:-;distributed:+;dorsal:-;round:0 | labiodental:0;strident:-,+;anterior:-;distributed:+;dorsal:-;round:0	labiodental:0;strident:-,+;anterior:+;distributed:-,+;dorsal:-,+;round:0	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	ts	tɕ	2/2	1.0
periodicGlottalSource:+;sonorant:-;nasal:-	d̠ʒ		1/2	0.9242326337654339
periodicGlottalSource:+;sonorant:+,-;nasal:+,-	n̠d̠ʒ		1/2	0.961732749578313
	3/3	1/3
	1.0	0.7441438893712455
