	labial:+;coronal:-;high:0;low:0;front:0;back:0	labial:-;coronal:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+	β	ʒ	2/2	1.0
periodicGlottalSource:-	ɸ		1/2	0.2156158826294055
	2/2	1/2
	1.0	0.2132872450827784
