	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;anterior:-;distributed:+;dorsal:-	labial:-;coronal:+;anterior:+;distributed:-;dorsal:- | labial:-;coronal:+;anterior:-;distributed:-;dorsal:- | labial:-;coronal:+;anterior:-;distributed:-;dorsal:-;strident:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+	β		ʐ	ɣ	3/4	0.8626117563243814
periodicGlottalSource:-		ʃ	s	x	3/4	0.8201226338801089
	1/2	1/2	2/2	2/2
	0.33747892892306774	0.7783204924998441	1.0	1.0
