	labial:+;coronal:-;distributed:0;dorsal:-	labial:-;coronal:+;distributed:+;dorsal:-	labial:-;coronal:+;distributed:-;dorsal:-,+	count	markedness_count
periodicGlottalSource:+	v			1/3	0.2656058903116674
periodicGlottalSource:-		s̪	sʲ	2/3	0.8363226538163795
	1/2	1/2	1/2
	0.33747892892306774	0.7852338104620263	0.7347060082533312
