	labiodental:0;lateral:-;strident:-;distributed:+;high:0;low:0;front:0;back:0;round:0	labiodental:0;lateral:-,+;strident:-;distributed:-;high:0;low:0;front:0;back:0;round:0	labiodental:0;lateral:-;strident:+;distributed:-;high:0;low:0;front:0;back:0;round:0	count	markedness_count
constrictedGlottis:-;raisedLarynxEjective:-			ts	1/3	0.9350488461388207
constrictedGlottis:+;raisedLarynxEjective:+ | constrictedGlottis:-,+;raisedLarynxEjective:-,+	t̪θʼ	tɬʼ	tsʼ	3/3	1.0
	1/2	1/2	2/2
	0.2776120462375658	0.39633702048536823	1.0
