	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0	labial:+;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:-;loweredLarynxImplosive:-;sonorant:-;nasal:-	p	t	kp	c	k	5/5	1.0
periodicGlottalSource:+;loweredLarynxImplosive:-;sonorant:-;nasal:-	b	d	ɡb	ɟ	ɡ	5/5	1.0
periodicGlottalSource:+;loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-	mb	nd	ŋmɡb	ɲɟ	ŋɡ	5/5	1.0
periodicGlottalSource:+;loweredLarynxImplosive:+;sonorant:-;nasal:-	ɓ		-			1/4	0.40662334864933586
	4/4	3/4	3/3	3/4	3/4
	1.0	0.9730490799031697	1.0	0.9473754715370958	0.9942271009636375
