	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:+	count	markedness_count
periodicGlottalSource:+	v	ʝ	2/2	1.0
periodicGlottalSource:-	f	ç	2/2	1.0
	2/2	2/2
	1.0	1.0
