	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0 | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;front:+	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-	labial:-,+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+,-;front:-	count	markedness_count
periodicGlottalSource:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;category:affricate|plosive	p	t		kp		k		4/7	0.7842215632810923
periodicGlottalSource:-,+;loweredLarynxImplosive:-;sonorant:-,+;nasal:-,+;category:affricate|plosive	-	-	-	-	-		km	1/2	0.9887001671739555
periodicGlottalSource:+;loweredLarynxImplosive:-;sonorant:-;nasal:-;category:affricate|plosive	b	d	d̠ʒ	ɡb	ɟ	ɡ		6/7	0.9997136589050091
periodicGlottalSource:+;loweredLarynxImplosive:-;sonorant:-,+;nasal:-,+;category:affricate|plosive			-	-	-	-	ɡm	1/3	0.09578235672891164
periodicGlottalSource:+;loweredLarynxImplosive:+;sonorant:-;nasal:-;category:affricate|plosive	ɓ	ɗ	-	-				2/5	0.8011463163117492
periodicGlottalSource:+;category:fricative	v			-				1/6	0.2729562484758566
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f		s	-				2/6	0.7006531585711749
	5/6	3/6	2/4	2/2	1/5	2/6	2/7
	0.9999905816672215	0.9007876709134461	0.49995583796136167	1.0	0.3241643467995269	0.8110167567921316	0.12263003007828466
