	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0	labial:+;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	labial:-,+;coronal:-;anterior:0;distributed:0;dorsal:+,-;front:-	count	markedness_count
periodicGlottalSource:-;loweredLarynxImplosive:-;sonorant:-;nasal:-	p	t	kp		k	-	4/5	0.9606332227853661
periodicGlottalSource:-,+;loweredLarynxImplosive:-;sonorant:-,+;nasal:-,+	-	-	-	-		km	1/2	0.9887001671739555
periodicGlottalSource:+;loweredLarynxImplosive:-;sonorant:-;nasal:-	b	d	ɡb	ɟ	ɡ	-	5/5	1.0
periodicGlottalSource:+;loweredLarynxImplosive:-;sonorant:-,+;nasal:-,+			-	-	-	ɡm	1/3	0.09578235672891164
periodicGlottalSource:+;loweredLarynxImplosive:+;sonorant:-;nasal:-	ɓ	ɗ	-				2/5	0.8011463163117492
	3/4	3/4	2/2	1/3	2/4	2/3
	0.9999877384298886	0.9999695869254539	1.0	0.4004214219516461	0.9940866120371579	0.7916562992452517
