	labial:-;labiodental:0;coronal:+;lateral:-;strident:-,+;anterior:+;distributed:-,+;dorsal:-,+;high:+;low:-;front:+;back:-;epilaryngealSource:-;round:0;retractedTongueRoot:-	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	dʑ	1/1	1.0
periodicGlottalSource:-;spreadGlottis:-	tɕ	1/1	1.0
periodicGlottalSource:-;spreadGlottis:-,+	tɕʰ	1/1	1.0
	3/3
	1.0
