	labial:+;labiodental:+;coronal:-;strident:0;dorsal:-;round:-	labial:+;labiodental:+,-;coronal:-;strident:0;dorsal:-;round:-,+	labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;round:0 | labial:-;labiodental:0;coronal:+;strident:-,+;dorsal:-;round:0	labial:-,+;labiodental:-;coronal:+;strident:+;dorsal:-;round:+	labial:+;labiodental:+;coronal:-;strident:0;dorsal:-,+;round:-	labial:-;labiodental:0;coronal:+;strident:+;dorsal:-,+;round:0	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	f	fʷ	s	sʷ	fʲ	sʲ	6/6	1.0
periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-		-	ns	-		-	1/3	0.6452040443492012
	1/2	1/1	2/2	1/1	1/2	1/1
	0.9992808479087014	1.0	1.0	1.0	0.9941622540185874	1.0
