	labial:+;coronal:-;dorsal:-;round:-	labial:-;coronal:+;dorsal:-;round:0	labial:-;coronal:-;dorsal:+;round:0	labial:-,+;coronal:-;dorsal:+;round:+	count	markedness_count
periodicGlottalSource:-;loweredLarynxImplosive:+	ɓ̥			-	1/3	0.6689379551390263
periodicGlottalSource:+;loweredLarynxImplosive:-	b	d	ɡ	ɡʷ	4/4	1.0
periodicGlottalSource:+;loweredLarynxImplosive:+	ɓ			-	1/3	0.39205063234099496
periodicGlottalSource:-;loweredLarynxImplosive:-	p	t	k	kʷ	4/4	1.0
	4/4	2/4	2/4	2/2
	1.0	0.9728887826164425	0.9878760930474716	1.0
