b	d̪	ɖ	ɡb	ɡ	5/5	1.0
	t̪		kp	k	3/5	0.5894953187160018
1/2	2/2	1/2	2/2	2/2
0.35307331597901326	1.0	0.18254808563574523	1.0	1.0
