	labial:+;labiodental:+;coronal:-;dorsal:-;round:-	labial:-;labiodental:0;coronal:+;dorsal:-;round:0	labial:-;labiodental:0;coronal:-;dorsal:+;round:0	labial:-,+;labiodental:-;coronal:-;dorsal:+;round:+	count	markedness_count
periodicGlottalSource:+	v	z			2/4	0.6989976967610373
periodicGlottalSource:-	f	s	x	xʷ	4/4	1.0
	2/2	2/2	1/2	1/2
	1.0	1.0	0.7047720672108528	0.8258323940163383
