	labial:+;coronal:-;distributed:0;dorsal:-;high:0;front:0;back:0	labial:-;coronal:+;distributed:-;dorsal:-;high:0;front:0;back:0	labial:-;coronal:+;distributed:+;dorsal:+;high:+;front:+;back:-	labial:-;coronal:-;distributed:0;dorsal:+;high:-;front:-;back:+	count	markedness_count
periodicGlottalSource:+	v	z	ʑ	ʁ	4/4	1.0
periodicGlottalSource:-	f	s	ɕ	χ	4/4	1.0
	2/2	2/2	2/2	2/2
	1.0	1.0	1.0	1.0
