	labial:-	labial:-,+	count	markedness_count
periodicGlottalSource:+	ɟʝ	ɟʝʷ	2/2	1.0
periodicGlottalSource:-	cç	cçʷ	2/2	1.0
	2/2	2/2
	1.0	1.0
