	labial:+;coronal:-;dorsal:-;high:0;back:0;retractedTongueRoot:-	labial:+;coronal:-;dorsal:-;high:0;back:0;retractedTongueRoot:-,+	labial:-;coronal:+;dorsal:-;high:0;back:0;retractedTongueRoot:-	labial:-;coronal:+;dorsal:-;high:0;back:0;retractedTongueRoot:-,+	labial:-;coronal:-;dorsal:+;high:+;back:-;retractedTongueRoot:-	labial:-;coronal:-;dorsal:+;high:-;back:+;retractedTongueRoot:-	count	markedness_count
periodicGlottalSource:+	b	bˤ	d	dˤ	ɡ		5/6	0.9819716954755149
periodicGlottalSource:-	p	pˤ	t	tˤ	k	q	6/6	1.0
	2/2	2/2	2/2	2/2	2/2	1/2
	1.0	1.0	1.0	1.0	1.0	0.8712310022359617
