	labiodental:0;high:0;low:0;front:0;back:0;round:0;retractedTongueRoot:-	labiodental:0;high:0;low:0;front:0;back:0;round:0;retractedTongueRoot:-,+	count	markedness_count
periodicGlottalSource:+	d̠ʒ	-	1/1	1.0
periodicGlottalSource:-	t̠ʃ	t̠ʃˤ	2/2	1.0
	2/2	1/1
	1.0	1.0
