	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	b	d	d̠ʒ	ɡb	ɡ	5/5	1.0
periodicGlottalSource:+;category:fricative		z		-		1/4	0.35383616477814095
periodicGlottalSource:-;category:affricate|plosive	p	t	t̠ʃ	kp	k	5/5	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f	s	ʃ	-		3/4	0.801866792995265
	3/4	4/4	3/4	2/2	2/4
	0.9245876636004398	1.0	0.9236936179361749	1.0	0.8231799477121992
