	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;high:0;low:0;front:0;back:0	labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;high:0;low:0;front:0;back:0	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:+;high:0;low:0;front:0;back:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;high:0;low:0;front:0;back:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+	β	v	ð	z	ʒ	5/5	1.0
periodicGlottalSource:-		f		s	ʃ	3/5	0.8753008607753672
	1/2	2/2	1/2	2/2	2/2
	0.5479002076962644	1.0	0.2691806125609584	1.0	1.0
