	labial:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-	labial:-;coronal:+;lateral:-;strident:-;anterior:-;distributed:+;dorsal:+	count	markedness_count
periodicGlottalSource:-;spreadGlottis:+		-	sʰ			1/4	0.9072098746675544
periodicGlottalSource:+;spreadGlottis:-	v			ʒ		2/5	0.5545613172638482
periodicGlottalSource:-;spreadGlottis:-	f	ɬ	s	ʃ	ç	5/5	1.0
	2/3	1/2	2/3	2/3	1/3
	0.9992717744009801	0.9049695633860305	0.7918237482901398	0.9997027871562153	0.734367785228901
