	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;high:0;front:0;back:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;high:+;front:+;back:-	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;high:+;front:-;back:-	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;high:-;front:-;back:+	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;sonorant:-;nasal:-	p	t	c	k	q	5/5	1.0
periodicGlottalSource:+,-;spreadGlottis:-;sonorant:+,-;nasal:+,-	mp	nt	ɲc	ŋk	ɴq	5/5	1.0
periodicGlottalSource:+,-;spreadGlottis:-,+;sonorant:+,-;nasal:+,-	mpʰ	ntʰ	ɲcʰ	ŋkʰ	ɴqʰ	5/5	1.0
periodicGlottalSource:-;spreadGlottis:+;sonorant:-;nasal:-	pʰ	tʰ	cʰ	kʰ	qʰ	5/5	1.0
	4/4	4/4	4/4	4/4	4/4
	1.0	1.0	1.0	1.0	1.0
