	-	sʰ			1/4	0.9072098746675544
v			ʒ		2/5	0.5545613172638482
f	ɬ	s	ʃ	ç	5/5	1.0
2/3	1/2	2/3	2/3	1/3
0.9992717744009801	0.9049695633860305	0.7918237482901398	0.9997027871562153	0.734367785228901
