	labial:+;coronal:-;dorsal:-;round:-	labial:-;coronal:+;dorsal:-;round:0	labial:-;coronal:-;dorsal:+;round:0	labial:-,+;coronal:-;dorsal:+;round:+	count	markedness_count
periodicGlottalSource:+	b	d̪	ɡ	ɡʷ	4/4	1.0
periodicGlottalSource:-		t̪	k	kʷ	3/4	0.7529108862245539
	1/2	2/2	2/2	2/2
	0.3520981260077749	1.0	1.0	1.0
