	labiodental:0;coronal:+;anterior:+;distributed:-;dorsal:-;front:0;round:0	labiodental:0;coronal:+;anterior:-;distributed:-;dorsal:-;front:0;round:0	labiodental:0;coronal:+;anterior:+;distributed:+;dorsal:+;front:+;round:0	labiodental:0;coronal:-;anterior:0;distributed:0;dorsal:+;front:-;round:0	count	markedness_count
periodicGlottalSource:+	z		ʑ	ɣ	3/4	0.9260277501829597
periodicGlottalSource:-	s	ʂ	ɕ	x	4/4	1.0
	2/2	1/2	2/2	2/2
	1.0	0.7695171220302162	1.0	1.0
