	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;strident:+;anterior:-;distributed:-;dorsal:-;front:0	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-	labial:-;coronal:+;strident:-,+;anterior:+;distributed:-,+;dorsal:-,+;front:+ | labial:-;coronal:+;strident:+;anterior:+;distributed:+;dorsal:+;front:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;category:affricate|plosive	b	d	dz	ɖʐ	ɡ	dʑ	6/6	1.0
periodicGlottalSource:+;category:fricative			z		ɣ	ʑ	3/6	0.603697484537527
periodicGlottalSource:-;spreadGlottis:-;category:affricate|plosive	p	t	ts	ʈʂ	k	tɕ	6/6	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative			s	ʂ	x	ɕ	4/6	0.7143790142574844
periodicGlottalSource:-;spreadGlottis:+;category:plosive | periodicGlottalSource:-;spreadGlottis:+;category:affricate | periodicGlottalSource:-;spreadGlottis:-,+;category:plosive | periodicGlottalSource:-;spreadGlottis:-,+;category:affricate	pʰ	tʰ	tsʰ	ʈʂʰ	kʰ	tɕʰ	6/6	1.0
	3/5	3/5	5/5	4/5	5/5	5/5
	0.7751802075349559	0.9025973360187686	1.0	0.8887453915081784	1.0	1.0
