	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:+;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-		d̪	d	ɖ	ɟ	ɡ	5/6	0.6721957498948643
periodicGlottalSource:-;spreadGlottis:-	p	t̪		ʈ	c	k	5/6	0.7661995321446079
periodicGlottalSource:-;spreadGlottis:+	pʰ	t̪ʰ		ʈʰ	cʰ	kʰ	5/6	0.7816076379587968
	2/3	3/3	1/3	3/3	3/3	3/3
	0.6514229170037719	1.0	0.3086634691980187	1.0	1.0	1.0
