	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-;front:0	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0	labial:-;coronal:+;strident:-;anterior:-;distributed:-;dorsal:-;front:0	labial:-;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;category:affricate|plosive		d̪	d	dz	d̠ʒ	ɖ	ɟ	ɡ	7/8	0.714970395392347
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative				s	ʃ				2/8	0.5163330095922681
periodicGlottalSource:-;spreadGlottis:-;category:affricate|plosive	p	t̪		ts	t̠ʃ	ʈ	c	k	7/8	0.8037607022655614
periodicGlottalSource:-;spreadGlottis:+;category:affricate|plosive	pʰ	t̪ʰ		tsʰ	t̠ʃʰ	ʈʰ	cʰ	kʰ	7/8	0.8244645405184439
	2/4	3/4	1/4	4/4	4/4	3/4	3/4	3/4
	0.547981401598835	0.8134428548603798	0.28667454359174976	1.0	1.0	0.9799795241746977	0.8804773195954637	0.867369699552435
