	d̪	d	ɖ	ɟ	ɡ	5/6	0.6721957498948643
p	t̪		ʈ	c	k	5/6	0.7661995321446079
pʰ	t̪ʰ		ʈʰ	cʰ	kʰ	5/6	0.7816076379587968
2/3	3/3	1/3	3/3	3/3	3/3
0.6514229170037719	1.0	0.3086634691980187	1.0	1.0	1.0
