	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:-	labial:-;coronal:-;dorsal:+	count	markedness_count
periodicGlottalSource:+	v			1/3	0.2700345348985572
periodicGlottalSource:-	f	s	x	3/3	1.0
	2/2	1/2	1/2
	1.0	0.7903072196662834	0.7047720672108528
