	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+	count	markedness_count
periodicGlottalSource:+	β		ʝ	2/3	0.42751083819413
periodicGlottalSource:-		s		1/3	0.7102928782202842
	1/2	1/2	1/2
	0.33747892892306774	0.7894718686030313	0.2609717260564806
