b					1/5	0.29636694427879234
ɓ	ɗ		ʄ		3/5	0.8930850919925937
p	t̪	ʈ	c	k	5/5	1.0
3/3	2/3	1/3	2/3	1/3
1.0	0.7046945053160262	0.8174519143642547	0.5909839406730495	0.7407360402655275
