	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:-	labial:-;coronal:-;dorsal:+	count	markedness_count
periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+	pʼ	tʼ	kʼ	3/3	1.0
periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-	b			1/3	0.3146067294701282
periodicGlottalSource:-;constrictedGlottis:-;raisedLarynxEjective:-	p	t	k	3/3	1.0
	3/3	2/3	2/3
	1.0	0.7020037344278643	0.7188092420919051
