b	d	dz	d̠ʒ	ɟ	ɡ	6/6	1.0
v		z	ʒ			3/6	0.6816129784089557
p	t	ts	t̠ʃ	c	k	6/6	1.0
f		s	ʃ		x	4/6	0.868798967730228
4/4	2/4	4/4	4/4	2/4	3/4
1.0	0.9036894656578184	1.0	1.0	0.8371047217913103	0.9458984764575173
