	labial:+;labiodental:+;coronal:-;lateral:-;strident:0;dorsal:-;high:0;back:0;round:-	labial:-;labiodental:0;coronal:+;lateral:+;strident:-;dorsal:-;high:0;back:0;round:0	labial:-;labiodental:0;coronal:+;lateral:-;strident:+;dorsal:-;high:0;back:0;round:0 | labial:-;labiodental:0;coronal:+;lateral:-;strident:-,+;dorsal:-;high:0;back:0;round:0	labial:-,+;labiodental:-;coronal:-;lateral:-;strident:0;dorsal:+;high:+;back:-;round:+	labial:-;labiodental:0;coronal:-;lateral:-;strident:0;dorsal:+;high:+;back:-;round:0 | labial:-;labiodental:0;coronal:-;lateral:-;strident:0;dorsal:+;high:-;back:+;round:0	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	f	ɬ	s		χ	4/5	0.9585693704559575
periodicGlottalSource:+;sonorant:-;nasal:-	v	ɮ	z	ɣʷ	ɣ	5/5	1.0
periodicGlottalSource:+;sonorant:+,-;nasal:+,-			nz			1/5	0.4663215182067069
	2/3	2/3	3/3	1/3	2/3
	0.994934002096312	0.9999220885116048	1.0	0.17902954791843123	0.9996221071651169
