	labial:+;coronal:-;dorsal:-;high:0;back:0;retractedTongueRoot:-	labial:-;coronal:+;dorsal:-;high:0;back:0;retractedTongueRoot:-	labial:-;coronal:+;dorsal:-;high:0;back:0;retractedTongueRoot:-,+	labial:-;coronal:-;dorsal:+;high:+;back:-;retractedTongueRoot:-	labial:-;coronal:-;dorsal:+;high:-;back:+;retractedTongueRoot:-	count	markedness_count
periodicGlottalSource:+	b	d̪		ɡ		3/5	0.9811782672573601
periodicGlottalSource:-	p	t̪	t̪ˤ	k	q	5/5	1.0
	2/2	2/2	1/2	2/2	1/2
	1.0	1.0	0.5725354895290229	1.0	0.8712310022359617
