	labial:+;coronal:-;anterior:0;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:-	labial:-;coronal:+;anterior:+;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:-	labial:-;coronal:+;anterior:+;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:-,+	labial:-;coronal:+;anterior:-;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:-	labial:-;coronal:-;anterior:0;dorsal:+;high:+;low:-;back:-;retractedTongueRoot:-	labial:-;coronal:-;anterior:0;dorsal:+;high:-;low:+;back:+;retractedTongueRoot:+	count	markedness_count
periodicGlottalSource:+	v	z̪		ʒ	ɣ	ʕ	5/6	0.9966986850339964
periodicGlottalSource:-	f	s̪	s̪ˤ	ʃ	x	ħ	6/6	1.0
	2/2	2/2	1/2	2/2	2/2	2/2
	1.0	1.0	0.37473319385447706	1.0	1.0	1.0
