	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:-;distributed:+	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:-,+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:-,+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:-,+;distributed:+	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;dorsal:+;high:+;low:-;back:-;retractedTongueRoot:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;dorsal:+;high:-;low:-;back:+;retractedTongueRoot:- | labial:-;labiodental:0;coronal:-;strident:0;anterior:0;dorsal:+;high:-;low:+;back:+;retractedTongueRoot:+	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	b	d̪		d̠ʒ	ɡ		4/6	0.9841403118434866
periodicGlottalSource:+;category:fricative	v	z̪		ʒ	ɣ	ʕ	5/6	0.9953315735874705
periodicGlottalSource:-;category:affricate|plosive	p	t̪	t̪ˤ	t̠ʃ	k	q	6/6	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f	s̪	s̪ˤ	ʃ	x	ħ	6/6	1.0
	4/4	4/4	2/4	4/4	4/4	3/4
	1.0	1.0	0.5479958676422944	1.0	1.0	0.9212124612682281
