	labial:+;coronal:-;strident:0;dorsal:-;round:-	labial:-;coronal:+;strident:-;dorsal:-;round:0 | labial:-;coronal:+;strident:+;dorsal:-;round:0 | labial:-;coronal:+;strident:-,+;dorsal:-;round:0 | labial:-;coronal:+;strident:+;dorsal:-;round:0;distributed:- | labial:-;coronal:+;strident:+;dorsal:-;round:0;distributed:+ | labial:-;coronal:+;strident:+;dorsal:-;round:0;anterior:+;distributed:+	labial:-;coronal:-;strident:0;dorsal:+;round:0 | labial:-;coronal:+;strident:+;dorsal:+;round:0;anterior:+;distributed:+;front:+ | labial:-;coronal:+;strident:-;dorsal:+;round:0;anterior:-;distributed:+;front:+ | labial:-;coronal:+;strident:+;dorsal:-,+;round:0;anterior:-;distributed:+;high:+;low:-;front:+;back:-	labial:-,+;coronal:-;strident:0;dorsal:+;round:+ | labial:-,-,+;coronal:-;strident:0;dorsal:+;round:+ | labial:-,+;coronal:+;strident:-;dorsal:+;round:+;anterior:-;distributed:+;front:+ | labial:-,-,+;coronal:+;strident:-;dorsal:+;round:+;anterior:-;distributed:+;front:+ | labial:-,+;coronal:+;strident:+;dorsal:-;round:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0 | labial:-,-,+;coronal:+;strident:+;dorsal:-;round:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+;category:plosive	b	d	ɡ	ɡʷ	4/4	1.0
periodicGlottalSource:-;category:plosive | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:plosive	p	t	k	kʷ	4/4	1.0
periodicGlottalSource:+;category:fricative	β		ɣ		2/4	0.35499768029997436
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative		s			1/4	0.7376356878725512
	3/4	3/4	3/4	2/4
	0.8525887869607701	0.8857450084917328	0.8719824220103658	0.7304314853309757
