	labial:+;labiodental:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0 | labial:+;labiodental:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;lateral:-;strident:-;anterior:+;distributed:+;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:+;distributed:+;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:-;distributed:-;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-,+;front:+	labial:-;labiodental:0;coronal:+;lateral:-;strident:-;anterior:+;distributed:-;dorsal:-,+;front:+	labial:-;labiodental:0;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-,+;front:-	labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-,+;front:+	labial:-;labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-	labial:-;labiodental:0;coronal:+;lateral:-;strident:-,+;anterior:+;distributed:-,+;dorsal:-,+;front:+ | labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:+;distributed:+;dorsal:+;front:+	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	b	d̪			-	dʲ	-		ɡ		4/8	0.8458872330113721
periodicGlottalSource:+;category:fricative	v		z̪	ʐ			-	zʲ			4/9	0.6920215191442906
periodicGlottalSource:-;category:affricate|plosive	p	t̪	t̪s̪		-	tʲ	-	tsʲ	k	tɕ	7/8	0.9839603089277981
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f		s̪	ʂ	ɬʲ		ɬˠ	sʲ	x	ɕ	8/10	0.9432486427052708
	4/4	2/4	3/4	2/4	1/2	2/4	1/1	3/4	3/4	2/4
	1.0	0.837819120561514	0.8953520474632904	0.43999111213158754	0.8197308999487871	0.9838730128614795	1.0	0.9624800755893861	0.9507699456670087	0.7356832649676471
