	labial:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-	labial:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:+	v̤	ɮ̤	z̤		ɣ̤	4/5	0.7002876507867883
periodicGlottalSource:-;spreadGlottis:-	f	ɬ	s	ʃ	x	5/5	1.0
	2/2	2/2	2/2	1/2	2/2
	1.0	1.0	1.0	0.9995312801814812	1.0
