-	ɓ	-		-	-		-		1/4	0.3768942489283311
-	b̤		d̤		d̠̤ʒ̤	ɟ̤		ɡ̤	5/8	0.9059571121611208
mpfʼ	mpʼ	-	ntʼ	ntsʼ	n̠t̠ʃʼ	ɲcʼ	-	ŋkʼ	7/7	1.0
-	v̤	ɮ̤	-	z̤		-	ɣ̤		4/6	0.015922096156723763
-	pʰ		tʰ	tsʰ	t̠ʃʰ	cʰ	kxʰ	kʰ	7/8	0.992852213749346
-	pʼ		tʼ	tsʼ	t̠ʃʼ	cʼ	kxʼ	kʼ	7/8	0.9790567628894656
m̤b̤v̤	m̤b̤	n̤d̤ɮ̤	n̤d̤	n̤d̤z̤	n̠̤d̠̤ʒ	ɲ̤ɟ̤	-	ŋ̤ɡ̤	8/8	1.0
-	f	ɬ		s	ʃ		x		5/8	0.5526524241309599
2/2	8/8	3/6	5/7	6/7	6/7	5/7	4/5	5/8
1.0	1.0	0.7487108907751456	0.7219840423691051	0.9909517919120164	0.9997200637344271	0.4847255713151625	0.9999511608874387	0.43517776005506
