	labiodental:0;coronal:+;dorsal:-;low:0;round:0;retractedTongueRoot:-	labiodental:0;coronal:-;dorsal:+;low:-;round:0;retractedTongueRoot:- | labiodental:0;coronal:-;dorsal:+;low:+;round:0;retractedTongueRoot:+ | labiodental:0;coronal:-;dorsal:+;low:+;round:0;retractedTongueRoot:+;high:-;back:+	count	markedness_count
periodicGlottalSource:+		ʁ	1/2	0.34286047812193754
periodicGlottalSource:-	s̻	ħ	2/2	1.0
	1/2	2/2
	0.7912593380696059	1.0
