	labial:+;coronal:+;anterior:0;dorsal:-	labial:+;coronal:-;anterior:0;dorsal:-	labial:-;coronal:+;anterior:+;dorsal:- | labial:-;coronal:+;anterior:-;dorsal:- | labial:-;coronal:+;anterior:-;dorsal:-;strident:-;lateral:-;distributed:-	labial:-;coronal:-;anterior:0;dorsal:+	count	markedness_count
periodicGlottalSource:+	-		ɖ		1/3	0.36194385775887866
periodicGlottalSource:-	p̼	p	t	k	4/4	1.0
	1/1	1/2	2/2	1/2
	1.0	0.6469266840209866	1.0	0.7131090135848781
