	labial:+;labiodental:-;coronal:+;strident:0;anterior:0;dorsal:- | labial:+;labiodental:+;coronal:+;strident:0;anterior:0;dorsal:-	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;dorsal:- | labial:+;labiodental:-;coronal:-;strident:0;anterior:0;dorsal:-,+;front:-;round:- | labial:+;labiodental:-;coronal:-;strident:0;anterior:0;dorsal:-,-,+;front:-;round:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;dorsal:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;dorsal:-,+;front:-;round:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;dorsal:-,-,+;front:-;round:- | labial:+;labiodental:+,-;coronal:-;strident:0;anterior:0;dorsal:-;round:-,+	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;dorsal:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:- | labial:-;labiodental:0;coronal:+;strident:-,+;anterior:+;dorsal:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;dorsal:-;distributed:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;dorsal:-;distributed:+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:-;distributed:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:-;distributed:+ | labial:-;labiodental:0;coronal:+;strident:-;anterior:-;dorsal:- | labial:-;labiodental:0;coronal:+;strident:-;anterior:-;dorsal:-;lateral:-;distributed:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;dorsal:+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:+;distributed:+;front:+ | labial:-;labiodental:0;coronal:+;strident:-;anterior:-;dorsal:+;distributed:+;front:+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;dorsal:-,+;distributed:+;high:+;low:-;front:+;back:-	count	markedness_count
periodicGlottalSource:+;category:plosive	-		ɖ		1/3	0.36194385775887866
periodicGlottalSource:-;category:plosive | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:plosive	p̼	p	t	k	4/4	1.0
periodicGlottalSource:+;category:fricative	v̼	v			2/4	0.21701084413708532
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	-		s		1/3	0.7169150211635955
	2/2	2/4	3/4	1/4
	1.0	0.577708425660393	0.9029289283928637	0.5836980829731214
