	labial:+;coronal:-;high:0;low:0;front:0;back:0	labial:+;coronal:+;high:0;low:0;front:0;back:0	labial:-;coronal:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+	v	v̼		2/3	0.34060419734689473
periodicGlottalSource:-		-	s	1/2	0.7843841173705945
	1/2	1/1	1/2
	0.33745490270910106	1.0	0.7867127549172216
