	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:-	labial:+;coronal:-;dorsal:+	labial:-;coronal:-;dorsal:+	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	p	t	kp	k	4/4	1.0
periodicGlottalSource:+;sonorant:-;nasal:-	b	d	ɡb		3/4	0.6661737123714777
periodicGlottalSource:+;sonorant:+,-;nasal:+,-	mb	nd		ŋɡ	3/4	0.981443988335667
	3/3	3/3	2/3	2/3
	1.0	1.0	0.9498754830190782	0.7318314894732322
